num_removed,f1_weighted
376,0.9425207502267653
377,0.9370221816785097
378,0.9380213948138332
379,0.9335219988842967
380,0.933021778680597
381,0.9300227538453999
382,0.9315226605048771
383,0.931523346283556
384,0.9300227538453999
385,0.9240255410060372
386,0.9245257320351604
387,0.9120246424642464
388,0.9029922399689599
389,0.9024901280633005
390,0.899494045361602
391,0.892995826995827
392,0.8934979498744874
393,0.886
394,0.8830084240336962
395,0.8825022031255507
396,0.8855101619385121
397,0.882012390111511
398,0.88000444000444
399,0.8815064878895978
400,0.8840083520334082
401,0.8835021843755462
402,0.8825104281901763
403,0.884004292004292
404,0.8804929196090691
405,0.8804929196090691
406,0.8830043290043289
407,0.8729843788594096
408,0.8759900799603199
409,0.8744571707158528
410,0.8749399939993999
411,0.87545078781942
412,0.8633772189478585
413,0.8663604113507847
414,0.8658746737807226
415,0.8643480128318792
416,0.8678950363831862
417,0.8638526588098304
418,0.8584106641662759
419,0.8574009088156315
420,0.8583826329275609
421,0.8679894230769232
422,0.8669893429487179
423,0.8704689583865067
424,0.8709658779396913
425,0.871469198090086
426,0.8633135067631297
427,0.7993731107757558
428,0.8008924808465125
429,0.8023357530090502
430,0.8028152461195115
431,0.8013066111891153
432,0.7926907954175851
433,0.7423804629192252
434,0.7439395166652562
435,0.7434547092885768
436,0.7460809966212816
437,0.7472387304327357
438,0.7507346826878943
439,0.7510991587433905
440,0.749964469214309
441,0.7534284742560226
442,0.7601917874396136
443,0.7686746965458472
444,0.7756654018045366
445,0.7624906318984686
446,0.7607583301232667
447,0.7587381462371245
448,0.7489459350338777
449,0.7514952092739463
450,0.7513876107968603
451,0.7369675965297665
452,0.7330441030281977
453,0.7365144458705111
454,0.7330441030281977
455,0.739
456,0.7404949972096139
457,0.7444510472040122
458,0.7443218912360308
459,0.7554031519653372
460,0.7528665465783346
461,0.7639709231217677
462,0.7274838543386722
463,0.7410893751093997
464,0.680802031315573
465,0.6862981613171888
466,0.6909632912457575
467,0.6921109243697479
468,0.6782970214095954
469,0.6538726638504864
470,0.6335919799205257
471,0.635532390194743
472,0.6398519605451624
473,0.6446679790459443
474,0.6137378277153558
475,0.6295257864477417
476,0.5616593960088729
477,0.5330603109703869
478,0.53792274048897
479,0.5341322316953294
480,0.5617671248529245
481,0.5140848358845084
482,0.5262299503996298
483,0.5248353181889722
484,0.5356718088305111
